testKey,Test
Day1_Guitar2,Haven’t played in a while. Should probably tune it sometime.
Day2_Guitar0,"We used to drag it to the lake: campfire, wet sand, strings smelling of smoke."
Day2_Guitar1,Now it’s just deadlines and doctor’s visits. The fires live in photos.
Day2_Guitar2,Someday I’ll hold you again.
Day3_Guitar0,I can’t even remember where A minor goes.
Day3_Guitar1,"My fingers shake, and my head’s full of test results."
Day3_Guitar2,The guitar’s in the corner. I’m not touching it. Not now.
Day4_Guitar0,String snapped. Symbolic.
Day4_Guitar1,Don’t even want to replace it. Let it stay off.
Day4_Guitar2,The strings ring too loud. It’s irritating.
Day5_Guitar0,I want it to sound again. But I can’t.
Day5_Guitar1,It’s dusty. Feels like it’s not mine anymore.
Day5_Guitar2,The guitar doesn’t recognize me. And I don’t recognize it.
Day6_Guitar0,Noise in my head drowns everything.
Day6_Guitar1,Too heavy. Even my eyes slide past it.
Day6_Guitar2,I don’t have the strength.
Day1_Painting0,I suddenly decided I was going to paint…
Day1_Painting1,"I bought brushes, canvases, and even brought an easel from the village..."
Day1_Painting2,And never finished a single one.
Day2_Painting0,"Every time I’d say, “I’ll start painting as soon as I wrap up this project”…"
Day2_Painting1,Then another deadline. And another…
Day2_Painting2,"The canvases just sit there. Waiting, same as me."
Day3_Painting0,One day I picked up a brush and just stared at the canvas…
Day3_Painting1,"No image, no spark. Only a low hum in my head…"
Day3_Painting2,Set the brush down. Didn’t even pour out the water.
Day4_Painting0,These canvases weigh on me like open loops…
Day4_Painting1,Everything unfinished starts screaming louder…
Day4_Painting2,What was I even trying to say with them?
Day5_Painting0,"Shoved the whole stack into a corner. Kept bumping into it, got angry…"
Day5_Painting1,"Wanted to throw it all out, but my hand wouldn’t move…"
Day5_Painting2,They just get in the way. Like so much else.
Day6_Painting0,"Too much emptiness. Inside me, on the canvas…"
Day6_Painting1,Too late to finish anything now…
Day6_Painting2,No one’s going to see it anyway.
Day1_Books0,I was always dragging books home from sales — for “inspiration”…
Day1_Books1,"Sometimes I’d read at night, mark passages, scribble in the margins…"
Day1_Books2,I should at least finish one someday.
Day2_Books0,The bookmark’s still on the same page...
Day2_Books1,What was it even about? I forgot.
Day2_Books2,The books stare at me. Judging.
Day3_Books0,My brain refuses to absorb the text.
Day3_Books1,I can’t hold a single thought.
Day3_Books2,"Just meaningless words, wrapped in paper."
Day4_Books0,What could they tell me that I’m not already feeling?
Day4_Books1,No author wrote about this.
Day4_Books2,Maybe I should throw them out. Make space.
Day5_Books0,The shelf feels heavier somehow...
Day5_Books1,It all presses down like someone else’s expectations...
Day5_Books2,I don’t think I can even read the titles anymore.
Day6_Books0,Finishing them won’t make me stronger.
Day6_Books1,The books are gone. Just empty rectangles now.
Day6_Books2,I can’t.
Day1_Basket0,"I wanted to learn knitting, but I never had the patience."
Day1_Basket1,Someday I’ll make a scarf. Maybe for me. Maybe for someone else.
Day1_Basket2,The colors feel so warm. Nice to touch.
Day2_Basket0,There’s always something else. No time for yarn.
Day2_Basket1,I started a couple times. Then gave up.
Day2_Basket2,They tangle just like my thoughts.
Day3_Basket0,The hook’s broken. I didn’t even notice when.
Day3_Basket1,Everything feels so thin. Fragile.
Day3_Basket2,I can’t focus. Every stitch feels like a task.
Day4_Basket0,I’m not even angry. Just watching it fade away...
Day4_Basket1,Like everything else.
Day4_Basket2,A monument to old ambitions.
Day5_Basket0,Even the yarn looks tired.
Day5_Basket1,I should throw it out.
Day5_Basket2,Why is it so hard to let go of useless things?
Day6_Basket0,Fine motor skills are the enemy now.
Day6_Basket1,My hands won’t listen.
Day6_Basket2,Everything in this basket is a frozen “what never was.”
Day1_Window0,I love the morning light. Everything feels possible.
Day1_Window1,Even the birds sound like they’re whispering.
Day1_Window2,It’s a good day.
Day2_Window0,It’s sunny… but strange. Like it’s on delay.
Day2_Window1,Today was supposed to be a good day. Maybe.
Day2_Window2,Fog?
Day3_Window0,Everyone else’s life keeps going…
Day3_Window1,People move forward. I feel like I’m not allowed.
Day3_Window2,The world outside looks out of focus.
Day4_Window0,Rain noise makes it hard to think.
Day4_Window1,Puddles reflect the ceiling. Can’t even see the sky.
Day4_Window2,Everything’s gone gray. Even the trees.
Day5_Window0,"Thunder, somewhere far off."
Day5_Window1,Just water and glass. That’s all.
Day5_Window2,There’s barely any light.
Day6_Window0,Storm. Lightning like torn-up thoughts.
Day6_Window1,The world’s losing it. And I’m just… left behind.
Day6_Window2,I can’t see anything. Not even myself in the reflection.
Hint_Switch,Choose
Hint_Interact,Interact
Day1_CardHeader0,Spam
Day1_CardContent0,Get a loan with no overpayment in 5 minutes
Day1_CardHeader1,Advertisement
Day1_CardContent1,New! Buy an iPhone with up to 40% off
Day1_CardHeader2,Work
Day1_CardContent2,Urgently attend a client meeting tomorrow at 9:00 AM
Day1_CardHeader3,Email
Day1_CardContent3,Your order has been shipped and will arrive the day after tomorrow
Day1_CardHeader4,Colleague
Day1_CardContent4,"Ivan, don’t forget to submit the report before lunch"
Day1_CardHeader5,Friend
Day1_CardContent5,Let’s meet at the metro station this evening
Day1_CardHeader6,Hospital
Day1_CardContent6,Reminder: appointment scheduled on June 30 at 2:00 PM
Day1_CardHeader7,Operator
Day1_CardContent7,Your balance has been topped up by 200 UAH
Day1_CardHeader8,Service
Day1_CardContent8,Please update the app to the latest version
Day1_CardHeader9,Bank
Day1_CardContent9,Your account has been blocked due to a suspicious transaction
Day1_CardHeader10,Store
Day1_CardContent10,Your gift is ready for pickup
Day1_CardHeader11,Government Services
Day1_CardContent11,Pay the fine by July 5 to avoid penalties
Day1_CardHeader12,Social Network
Day1_CardContent12,You’ve been tagged in a photo
Day1_CardHeader13,Delivery
Day1_CardContent13,Your package will arrive today between 4:00 PM and 6:00 PM
Day1_CardHeader14,Anonymous
Day1_CardContent14,You’ve won a prize! Call now
Day2_CardHeader0,Spam
Day2_CardContent0,Find out how to double your income in a week
Day2_CardHeader1,Advertisement
Day2_CardContent1,50% discount on gym membership until the end of the month
Day2_CardHeader2,Work
Day2_CardContent2,You have been assigned a business trip on July 3
Day2_CardHeader3,Email
Day2_CardContent3,Get your e-ticket for the concert in the app
Day2_CardHeader4,Colleague
Day2_CardContent4,"Maria, check the accuracy of the data by tomorrow morning"
Day2_CardHeader5,Friend
Day2_CardContent5,Don’t forget to buy movie tickets for the weekend
Day2_CardHeader6,Hospital
Day2_CardContent6,You need to have a blood test on July 2 at 10:00 AM
Day2_CardHeader7,Operator
Day2_CardContent7,Your plan has been extended for another 30 days
Day2_CardHeader8,Service
Day2_CardContent8,Scheduled server maintenance tonight
Day2_CardHeader9,Bank
Day2_CardContent9,Your credit limit has been approved
Day2_CardHeader10,Store
Day2_CardContent10,The item in your wishlist is back in stock
Day2_CardHeader11,Government Services
Day2_CardContent11,Request a free online extract from the USRN
Day2_CardHeader12,Social Network
Day2_CardContent12,New comment on your post
Day2_CardHeader13,Delivery
Day2_CardContent13,Your order has been placed and will be delivered tomorrow morning
Day2_CardHeader14,Anonymous
Day2_CardContent14,Congratulations! You are a participant in an exclusive promotion
Day3_CardHeader0,Spam
Day3_CardContent0,You have won a car! Reply “YES” to claim
Day3_CardHeader1,Advertisement
Day3_CardContent1,"The new bag collection is now available, hurry to grab a deal"
Day3_CardHeader2,Work
Day3_CardContent2,Write the project report by the end of the day
Day3_CardHeader3,Email
Day3_CardContent3,Your invoice is available for download
Day3_CardHeader4,Colleague
Day3_CardContent4,"Anna, send me the presentation for review"
Day3_CardHeader5,Friend
Day3_CardContent5,Shall we meet for a run tomorrow morning?
Day3_CardHeader6,Hospital
Day3_CardContent6,Please confirm your ultrasound appointment on July 4 at 11:30 AM
Day3_CardHeader7,Operator
Day3_CardContent7,Your internet connection has been restored
Day3_CardHeader8,Service
Day3_CardContent8,Your car is ready for service
Day3_CardHeader9,Bank
Day3_CardContent9,Reminder to top up your deposit by July 10
Day3_CardHeader10,Store
Day3_CardContent10,20% off electronics only today
Day3_CardHeader11,Government Services
Day3_CardContent11,You can renew your driver’s license online
Day3_CardHeader12,Social Network
Day3_CardContent12,Your post has reached 100 likes
Day3_CardHeader13,Delivery
Day3_CardContent13,The courier will deliver your order by 8:00 PM today
Day3_CardHeader14,Anonymous
Day3_CardContent14,"You have a new secret offer, find out the details"
Day4_CardHeader0,Spam
Day4_CardContent0,"Your number has won 1 million rubles, confirm participation"
Day4_CardHeader1,Advertisement
Day4_CardContent1,Hurry to book a trip to the Maldives at 30% off
Day4_CardHeader2,Work
Day4_CardContent2,Please approve the work plan for next week
Day4_CardHeader3,Email
Day4_CardContent3,Your payment receipt has been sent to your email
Day4_CardHeader4,Colleague
Day4_CardContent4,"Dmitry, check the accuracy of the financial data by the end of the day"
Day4_CardHeader5,Friend
Day4_CardContent5,Shall we go to the exhibition on Saturday?
Day4_CardHeader6,Hospital
Day4_CardContent6,Don't forget to get a fluorography by July 10
Day4_CardHeader7,Operator
Day4_CardContent7,A new tariff plan is available without a price increase
Day4_CardHeader8,Service
Day4_CardContent8,Please update your password urgently for account security
Day4_CardHeader9,Bank
Day4_CardContent9,Your credit card has been successfully activated
Day4_CardHeader10,Store
Day4_CardContent10,Free delivery today on orders over 2000 ₽
Day4_CardHeader11,Government Services
Day4_CardContent11,Get a criminal record check online in 5 minutes
Day4_CardHeader12,Social Network
Day4_CardContent12,Your video has reached 1000 views
Day4_CardHeader13,Delivery
Day4_CardContent13,Your food will be delivered within 45 minutes
Day4_CardHeader14,Anonymous
Day4_CardContent14,You have a new secret promotion – find out the details
Day5_CardHeader0,Spam
Day5_CardContent0,Learn the secret to eternal youth in 30 seconds!
Day5_CardHeader1,Advertisement
Day5_CardContent1,60% off all smartphones today only!
Day5_CardHeader2,Work
Day5_CardContent2,Your interview has been moved to July 2 at 10:00 AM
Day5_CardHeader3,Email
Day5_CardContent3,Your delivery report is available for viewing
Day5_CardHeader4,Colleague
Day5_CardContent4,"Olga, please send me the presentation outline by tonight"
Day5_CardHeader5,Friend
Day5_CardContent5,Want to go hiking this weekend?
Day5_CardHeader6,Hospital
Day5_CardContent6,Vaccination appointment on July 5 at 9:00 AM—please confirm
Day5_CardHeader7,Operator
Day5_CardContent7,You’ve used 300 MB of data; please top up your balance
Day5_CardHeader8,Service
Day5_CardContent8,Don’t forget to clear the app cache for stability
Day5_CardHeader9,Bank
Day5_CardContent9,Your PIN change was successful
Day5_CardHeader10,Store
Day5_CardContent10,Black Friday: up to 70% off electronics
Day5_CardHeader11,Government Services
Day5_CardContent11,Book a doctor’s appointment online
Day5_CardHeader12,Social Network
Day5_CardContent12,You have a new follower on your page
Day5_CardHeader13,Delivery
Day5_CardContent13,The courier will contact you 15 minutes before arrival
Day5_CardHeader14,Anonymous
Day5_CardContent14,You’ve been selected as the winner of a secret draw
Day6_CardHeader0,Spam
Day6_CardContent0,Your phone number is entered in an iPhone X giveaway—reply “YES”
Day6_CardHeader1,Advertisement
Day6_CardContent1,Free 3-month music subscription for new users
Day6_CardHeader2,Work
Day6_CardContent2,Urgent call with the project manager today at 4:00 PM
Day6_CardHeader3,Email
Day6_CardContent3,Attached documents are available for download
Day6_CardHeader4,Colleague
Day6_CardContent4,"Sergey, check last quarter’s sales figures"
Day6_CardHeader5,Friend
Day6_CardContent5,Shall we order pizza and watch the match tonight?
Day6_CardHeader6,Hospital
Day6_CardContent6,Reminder: dental check-up on July 6 at 1:00 PM
Day6_CardHeader7,Operator
Day6_CardContent7,Your tariff change request has been processed successfully
Day6_CardHeader8,Service
Day6_CardContent8,Please clear device memory for optimization
Day6_CardHeader9,Bank
Day6_CardContent9,New notification: interest has been credited to your deposit
Day6_CardHeader10,Store
Day6_CardContent10,“3 for 2” deal on household products until tomorrow
Day6_CardHeader11,Government Services
Day6_CardContent11,Register for the online professional development course
Day6_CardHeader12,Social Network
Day6_CardContent12,Your photo has received 50 comments
Day6_CardHeader13,Delivery
Day6_CardContent13,Your package is awaiting pickup at the collection point
Day6_CardHeader14,Anonymous
Day6_CardContent14,Special offer exclusively for selected users
Day7_CardContent0,Enter the draw for a free trip to Paris
Day7_CardHeader1,Advertisement
Day7_CardContent1,"Buy 2, get the 3rd item free in our store"
Day7_CardHeader2,Work
Day7_CardContent2,"Department meeting tomorrow at 11:00 AM, don’t be late"
Day7_CardHeader3,Email
Day7_CardContent3,"You have an important message, check your inbox"
Day7_CardHeader4,Colleague
Day7_CardContent4,"Olga, send me the project data file by 6:00 PM"
Day7_CardHeader5,Friend
Day7_CardContent5,Let’s go to the concert on Friday
Day7_CardHeader6,Hospital
Day7_CardContent6,"Your test results are ready, view them in your account"
Day7_CardHeader7,Operator
Day7_CardContent7,Your number has been successfully transferred to a new plan
Day7_CardHeader8,Service
Day7_CardContent8,System update scheduled overnight
Day7_CardHeader9,Bank
Day7_CardContent9,Check your card statement for June
Day7_CardHeader10,Store
Day7_CardContent10,The new summer clothing collection is now available
Day7_CardHeader11,Government Services
Day7_CardContent11,Apply for benefits online
Day7_CardHeader12,Social Network
Day7_CardContent12,Someone liked your photo
Day7_CardHeader13,Delivery
Day7_CardContent13,Your order has been handed over to the courier
Day7_CardHeader14,Anonymous
Day7_CardContent14,"You have received a secret gift, find out the details"
